# Serial Log - 2026-04-11T16:49:27.742250
# Port: COM24 @ 115200bps
#============================================================
[16:49:27.751] ,-1927.00
[16:49:37.711] -86.00,-2277.00,-1113.00
[16:49:37.752] 7.00,-2287.00,-1102.00
[16:49:37.791] 25.00,-2330.00,-1012.00
[16:49:37.831] 27.00,-2332.00,-850.00
[16:49:37.870] 76.00,-2351.00,-796.00
[16:49:37.910] 171.00,-2356.00,-752.00
[16:49:37.952] 330.00,-2365.00,-721.00
[16:49:37.991] 403.00,-2351.00,-742.00
[16:49:38.030] 641.00,-2282.00,-825.00
[16:49:38.070] 795.00,-2222.00,-860.00
[16:49:38.111] 948.00,-2158.00,-888.00
[16:49:38.151] 1076.00,-2068.00,-915.00
[16:49:38.190] 1163.00,-2006.00,-930.00
[16:49:38.230] 1220.00,-1942.00,-961.00
[16:49:38.270] 1263.00,-1906.00,-1000.00
[16:49:38.311] 1298.00,-1845.00,-1068.00
[16:49:38.351] 1325.00,-1802.00,-1105.00
[16:49:38.391] 1357.00,-1733.00,-1110.00
[16:49:38.430] 1342.00,-1705.00,-1126.00
[16:49:38.472] 1357.00,-1710.00,-1131.00
[16:49:38.511] 1340.00,-1683.00,-1146.00
[16:49:38.550] 1352.00,-1681.00,-1141.00
[16:49:38.590] 1381.00,-1676.00,-1133.00
[16:49:38.634] 1357.00,-1687.00,-1123.00
[16:49:38.671] 1345.00,-1723.00,-1118.00
[16:49:38.712] 1322.00,-1778.00,-1090.00
[16:49:38.751] 1245.00,-1871.00,-1063.00
[16:49:38.792] 1120.00,-1992.00,-1010.00
[16:49:38.832] 1005.00,-2101.00,-963.00
[16:49:38.871] 885.00,-2187.00,-888.00
[16:49:38.911] 738.00,-2253.00,-813.00
[16:49:38.951] 565.00,-2296.00,-750.00
[16:49:38.991] 388.00,-2353.00,-701.00
[16:49:39.031] 201.00,-2362.00,-656.00
[16:49:39.070] 7.00,-2332.00,-612.00
[16:49:39.110] -173.00,-2317.00,-580.00
[16:49:39.151] -345.00,-2237.00,-548.00
[16:49:39.191] -513.00,-2180.00,-520.00
[16:49:39.230] -623.00,-2111.00,-510.00
[16:49:39.270] -713.00,-2068.00,-536.00
[16:49:39.310] -790.00,-2006.00,-580.00
[16:49:39.351] -858.00,-1947.00,-626.00
[16:49:39.391] -946.00,-1876.00,-665.00
[16:49:39.432] -982.00,-1805.00,-682.00
[16:49:39.470] -1086.00,-1723.00,-697.00
[16:49:39.502] -1107.00,-1657.00,-677.00
[16:49:39.552] -1237.00,-1443.00,-660.00
[16:49:39.590] -1271.00,-1322.00,-677.00
[16:49:39.630] -1322.00,-1207.00,-706.00
[16:49:39.670] -1342.00,-1082.00,-757.00
[16:49:39.712] -1355.00,-1025.00,-821.00
[16:49:39.754] -1320.00,-953.00,-932.00
[16:49:39.790] -1263.00,-872.00,-1128.00
[16:49:39.831] -1191.00,-827.00,-1342.00
[16:49:39.872] -1066.00,-758.00,-1543.00
[16:49:39.911] -905.00,-711.00,-1718.00
[16:49:39.950] -731.00,-640.00,-1847.00
[16:49:39.991] -638.00,-618.00,-1925.00
[16:49:40.032] -367.00,-552.00,-2023.00
[16:49:40.071] -235.00,-506.00,-2058.00
[16:49:40.110] -117.00,-468.00,-2082.00
[16:49:40.150] -2.00,-442.00,-2097.00
[16:49:40.191] 106.00,-405.00,-2080.00
[16:49:40.232] 198.00,-313.00,-2058.00
[16:49:40.271] 293.00,-205.00,-2005.00
[16:49:40.312] 391.00,-138.00,-1963.00
[16:49:40.350] 487.00,-100.00,-1925.00
[16:49:40.392] 697.00,-73.00,-1852.00
[16:49:40.431] 868.00,-97.00,-1770.00
[16:49:40.470] 1073.00,-147.00,-1667.00
[16:49:40.510] 1217.00,-173.00,-1570.00
[16:49:40.549] 1350.00,-233.00,-1458.00
[16:49:40.591] 1452.00,-266.00,-1301.00
[16:49:40.631] 1562.00,-323.00,-1131.00
[16:49:40.671] 1611.00,-357.00,-1005.00
[16:49:40.710] 1672.00,-450.00,-786.00
[16:49:40.751] 1690.00,-516.00,-621.00
[16:49:40.792] 1682.00,-547.00,-463.00
[16:49:40.831] 1667.00,-597.00,-316.00
[16:49:40.871] 1642.00,-642.00,-213.00
[16:49:40.911] 1591.00,-658.00,-46.00
[16:49:40.951] 1508.00,-666.00,61.00
[16:49:40.991] 1447.00,-658.00,136.00
[16:49:41.031] 1430.00,-640.00,175.00
[16:49:41.070] 1263.00,-597.00,345.00
[16:49:41.111] 1178.00,-568.00,427.00
[16:49:41.150] 1063.00,-571.00,515.00
[16:49:41.191] 987.00,-603.00,577.00
[16:49:41.231] 907.00,-621.00,618.00
[16:49:41.272] 823.00,-663.00,648.00
[16:49:41.311] 770.00,-677.00,685.00
[16:49:41.351] 692.00,-716.00,695.00
[16:49:41.390] 626.00,-745.00,721.00
[16:49:41.417] 423.00,-790.00,765.00
[16:49:41.471] 91.00,-813.00,786.00
[16:49:41.511] -50.00,-798.00,765.00
[16:49:41.550] -465.00,-745.00,633.00
[16:49:41.590] -751.00,-680.00,483.00
[16:49:41.632] -978.00,-718.00,272.00
[16:49:41.673] -1142.00,-742.00,48.00
[16:49:41.712] -1252.00,-768.00,-182.00
[16:49:41.752] -1330.00,-766.00,-383.00
[16:49:41.791] -1340.00,-730.00,-558.00
[16:49:41.830] -1347.00,-718.00,-651.00
[16:49:41.871] -1355.00,-758.00,-692.00
[16:49:41.911] -1347.00,-843.00,-690.00
[16:49:41.949] -1350.00,-961.00,-701.00
[16:49:41.991] -1327.00,-1138.00,-690.00
[16:49:42.032] -1286.00,-1272.00,-708.00
[16:49:42.071] -1198.00,-1471.00,-701.00
[16:49:42.109] -1063.00,-1731.00,-701.00
[16:49:42.153] -858.00,-1932.00,-677.00
[16:49:42.191] -636.00,-2122.00,-706.00
[16:49:42.230] -413.00,-2237.00,-728.00
[16:49:42.272] -206.00,-2303.00,-760.00
[16:49:42.310] -22.00,-2338.00,-791.00
[16:49:42.351] 137.00,-2353.00,-827.00
[16:49:42.390] 288.00,-2351.00,-881.00
[16:49:42.429] 386.00,-2332.00,-888.00
[16:49:42.471] 462.00,-2332.00,-876.00
[16:49:42.511] 506.00,-2322.00,-860.00
