# Serial Log - 2026-04-18T18:00:20.299994
# Port: COM36 @ 115200bps
#============================================================
[18:00:20.300] 4,-2.300,-172.118,5.298,5.482
[18:00:29.540] imu_att:-0.449,0.169,-2.890,-170.960,6.191,11.780
[18:00:29.580] imu_att:-0.161,-0.037,-2.879,-171.845,5.512,11.203
[18:00:29.619] imu_att:0.034,0.649,-2.824,-170.177,6.332,10.669
[18:00:29.659] imu_att:-0.262,0.858,-2.806,-170.308,6.787,10.097
[18:00:29.698] imu_att:-0.207,0.666,-2.829,-171.538,6.004,9.481
[18:00:29.739] imu_att:-0.102,0.311,-2.834,-172.108,5.390,8.880
[18:00:29.779] imu_att:-0.278,-0.336,-2.859,-173.498,4.184,8.317
[18:00:29.819] imu_att:0.044,-0.620,-2.855,-172.542,4.471,7.661
[18:00:29.858] imu_att:-0.009,-0.146,-2.857,-171.645,5.467,7.185
[18:00:29.899] imu_att:-0.175,0.152,-2.855,-171.780,5.295,6.843
[18:00:29.939] imu_att:-0.066,0.477,-2.858,-170.518,6.033,6.628
[18:00:29.979] imu_att:-0.143,0.005,-2.865,-172.574,5.032,6.428
[18:00:30.019] imu_att:-0.045,-0.195,-2.859,-172.424,5.139,6.264
[18:00:30.058] imu_att:-0.206,0.057,-2.871,-172.028,5.874,6.108
[18:00:30.100] imu_att:-0.048,0.207,-2.839,-172.027,5.636,6.057
[18:00:30.139] imu_att:-0.555,0.373,-2.630,-170.631,6.029,6.153
[18:00:30.179] imu_att:-0.496,1.611,-2.331,-168.229,8.697,6.695
[18:00:30.218] imu_att:0.210,0.805,-2.175,-168.762,8.979,7.271
[18:00:30.259] imu_att:-0.029,-2.450,-2.010,-174.196,4.537,7.327
[18:00:30.299] imu_att:-0.139,-5.587,-1.674,-178.925,-0.656,7.056
[18:00:30.339] imu_att:-0.018,-8.080,-1.400,174.466,-6.846,6.721
[18:00:30.379] imu_att:0.255,-10.355,-1.263,168.762,-12.489,6.307
[18:00:30.418] imu_att:0.300,-12.634,-1.300,160.592,-20.342,5.595
[18:00:30.460] imu_att:0.286,-14.486,-1.405,153.261,-28.228,4.875
[18:00:30.499] imu_att:0.085,-16.372,-1.513,145.479,-35.763,4.149
[18:00:30.539] imu_att:0.064,-16.867,-1.579,142.716,-39.651,3.462
[18:00:30.578] imu_att:-0.188,-17.251,-1.624,141.016,-41.350,2.795
[18:00:30.620] imu_att:-0.038,-17.372,-1.674,138.005,-43.833,2.119
[18:00:30.659] imu_att:-0.044,-17.221,-1.754,140.113,-42.826,1.412
[18:00:30.699] imu_att:-0.257,-16.967,-1.803,138.594,-44.036,0.735
[18:00:30.739] imu_att:-0.382,-16.815,-1.800,139.762,-43.037,0.105
[18:00:30.780] imu_att:-0.272,-16.604,-1.734,140.805,-42.152,-0.462
[18:00:30.820] imu_att:0.179,-16.492,-1.731,143.695,-39.893,-1.096
[18:00:30.859] imu_att:-0.098,-16.562,-1.735,141.383,-40.457,-1.738
[18:00:30.899] imu_att:-0.080,-16.512,-1.720,141.930,-41.119,-2.364
[18:00:30.938] imu_att:-0.015,-16.610,-1.715,139.342,-42.786,-3.001
[18:00:30.980] imu_att:-0.073,-16.711,-1.707,141.535,-41.622,-3.639
[18:00:31.019] imu_att:-0.012,-16.718,-1.699,140.754,-42.496,-4.278
[18:00:31.059] imu_att:-0.026,-16.741,-1.698,140.727,-42.174,-4.927
[18:00:31.099] imu_att:-0.051,-16.715,-1.692,139.887,-42.397,-5.573
[18:00:31.138] imu_att:-0.086,-16.662,-1.678,142.372,-40.449,-6.213
[18:00:31.180] imu_att:-0.025,-16.599,-1.668,142.300,-40.934,-6.859
[18:00:31.219] imu_att:-0.057,-16.479,-1.658,141.540,-41.446,-7.508
[18:00:31.259] imu_att:-0.068,-16.380,-1.642,143.001,-40.915,-8.153
[18:00:31.298] imu_att:-0.042,-16.366,-1.629,142.276,-40.716,-8.804
[18:00:31.340] imu_att:0.001,-16.435,-1.617,142.179,-40.554,-9.457
[18:00:31.379] imu_att:-0.013,-16.455,-1.609,142.157,-39.640,-10.117
[18:00:31.419] imu_att:0.001,-16.489,-1.607,143.018,-40.186,-10.718
[18:00:31.459] imu_att:-0.047,-16.468,-1.605,143.125,-40.411,-11.388
[18:00:31.500] imu_att:-0.086,-16.453,-1.594,141.204,-40.978,-12.119
[18:00:31.540] imu_att:-0.061,-16.484,-1.584,141.245,-41.607,-12.785
[18:00:31.579] imu_att:-0.051,-16.442,-1.574,141.944,-40.807,-13.454
[18:00:31.619] imu_att:-0.048,-16.385,-1.560,140.890,-40.558,-14.053
[18:00:31.658] imu_att:-0.034,-16.405,-1.546,141.392,-40.994,-14.791
[18:00:31.700] imu_att:0.023,-16.425,-1.544,142.479,-40.491,-15.407
[18:00:31.739] imu_att:0.035,-16.403,-1.554,142.452,-40.546,-16.174
[18:00:31.779] imu_att:-0.062,-16.343,-1.559,140.640,-41.712,-16.870
[18:00:31.818] imu_att:-0.057,-16.320,-1.560,141.383,-41.399,-17.563
[18:00:31.860] imu_att:-0.088,-16.348,-1.552,142.243,-40.706,-18.181
[18:00:31.899] imu_att:-0.027,-16.404,-1.544,143.645,-39.862,-18.940
[18:00:31.939] imu_att:-0.022,-16.408,-1.544,141.722,-40.524,-19.569
[18:00:31.979] imu_att:-0.079,-16.351,-1.537,141.662,-41.486,-20.335
[18:00:32.020] imu_att:-0.041,-16.349,-1.528,142.936,-39.549,-21.030
[18:00:32.060] imu_att:-0.042,-16.424,-1.517,143.123,-39.277,-21.725
[18:00:32.099] imu_att:-0.038,-16.424,-1.502,143.952,-39.177,-22.419
[18:00:32.139] imu_att:-0.024,-16.427,-1.490,143.567,-40.394,-23.117
[18:00:32.178] imu_att:-0.059,-16.403,-1.474,141.193,-40.784,-23.815
[18:00:32.220] imu_att:-0.020,-16.368,-1.459,142.692,-39.917,-24.516
[18:00:32.259] imu_att:-0.071,-16.327,-1.443,144.916,-38.811,-25.217
[18:00:32.299] imu_att:-0.021,-16.149,-1.430,142.949,-39.746,-25.924
[18:00:32.338] imu_att:-0.090,-15.975,-1.425,143.389,-39.247,-26.569
[18:00:32.380] imu_att:-0.132,-15.957,-1.446,144.148,-38.295,-27.388
[18:00:32.420] imu_att:-0.038,-15.720,-1.460,146.349,-36.933,-28.128
[18:00:32.459] imu_att:0.075,-15.334,-1.489,149.413,-34.072,-28.887
[18:00:32.499] imu_att:0.035,-14.968,-1.530,149.087,-33.340,-29.660
[18:00:32.538] imu_att:0.033,-14.704,-1.578,150.049,-32.711,-30.286
[18:00:32.580] imu_att:0.061,-13.482,-1.674,158.420,-26.081,-30.466
