# Serial Log - 2026-04-18T18:22:06.119313
# Port: COM36 @ 115200bps
#============================================================
[18:22:09.958] imu_mag3:-1457.913,-49.939,-1106.259
[18:22:09.997] imu_att:0.462,20.512,0.130,179.613,-3.854,-3.860
[18:22:09.998] imu_mag3:-1438.191,-49.725,-1106.272
[18:22:10.036] imu_att:0.486,20.377,0.121,-179.797,-3.340,-3.843
[18:22:10.037] imu_mag3:-1453.070,-57.820,-1104.099
[18:22:10.077] imu_att:0.378,20.432,0.112,179.263,-4.541,-3.909
[18:22:10.078] imu_mag3:-1455.909,-46.952,-1106.301
[18:22:10.117] imu_att:0.523,20.443,0.110,179.735,-3.793,-3.930
[18:22:10.118] imu_mag3:-1452.983,-49.885,-1106.262
[18:22:10.157] imu_att:0.377,20.575,0.097,179.568,-3.939,-3.945
[18:22:10.158] imu_mag3:-1441.168,-51.679,-1110.352
[18:22:10.196] imu_att:0.182,20.266,0.041,178.701,-4.578,-4.058
[18:22:10.197] imu_mag3:-1438.128,-44.593,-1120.720
[18:22:10.238] imu_att:0.207,20.170,-0.037,-179.848,-4.374,-4.267
[18:22:10.239] imu_mag3:-1438.349,-65.282,-1125.571
[18:22:10.277] imu_att:0.247,20.393,-0.123,179.458,-4.148,-4.352
[18:22:10.278] imu_mag3:-1441.187,-54.373,-1130.853
[18:22:10.317] imu_att:0.409,20.546,-0.213,179.393,-3.877,-4.340
[18:22:10.318] imu_mag3:-1446.057,-49.349,-1141.189
[18:22:10.356] imu_att:0.612,20.243,-0.267,179.872,-3.860,-4.350
[18:22:10.357] imu_mag3:-1418.451,-50.701,-1165.831
[18:22:10.398] imu_att:0.699,19.274,-0.267,-179.563,-3.143,-4.197
[18:22:10.399] imu_mag3:-1411.599,-56.285,-1186.297
[18:22:10.437] imu_att:0.151,17.449,-0.273,-179.758,-3.270,-4.037
[18:22:10.438] imu_mag3:-1383.123,-70.028,-1244.658
[18:22:10.477] imu_att:-0.036,15.360,-0.303,179.764,-3.677,-3.976
[18:22:10.478] imu_mag3:-1342.657,-68.884,-1298.096
[18:22:10.517] imu_att:-0.670,12.596,-0.439,179.221,-4.443,-4.143
[18:22:10.517] imu_mag3:-1299.357,-79.488,-1357.536
[18:22:10.557] imu_att:-0.964,9.895,-0.692,179.374,-4.264,-4.452
[18:22:10.559] imu_mag3:-1252.116,-90.117,-1411.842
[18:22:10.598] imu_att:-0.771,6.856,-1.045,177.854,-5.269,-4.822
[18:22:10.598] imu_mag3:-1187.677,-60.133,-1459.527
[18:22:10.637] imu_att:-0.857,4.979,-1.421,179.894,-4.283,-5.147
[18:22:10.638] imu_mag3:-1153.514,-93.093,-1479.632
[18:22:10.677] imu_att:1.135,2.577,-1.661,-176.644,-1.167,-4.927
[18:22:10.678] imu_mag3:-1103.186,-90.286,-1501.263
[18:22:10.718] imu_att:2.440,0.826,-1.558,-174.181,1.538,-4.175
[18:22:10.719] imu_mag3:-1074.629,-94.646,-1521.757
[18:22:10.758] imu_att:0.805,0.694,-1.426,-177.172,0.354,-3.510
[18:22:10.758] imu_mag3:-1067.694,-91.606,-1521.803
[18:22:10.797] imu_att:-1.950,0.743,-1.552,178.487,-4.031,-3.382
[18:22:10.798] imu_mag3:-1043.132,-100.126,-1529.915
[18:22:10.837] imu_att:-0.738,0.754,-1.727,179.155,-4.832,-3.827
[18:22:10.838] imu_mag3:-1029.072,-76.294,-1527.168
[18:22:10.876] imu_att:1.577,0.490,-1.646,-175.359,0.349,-3.417
[18:22:10.877] imu_mag3:-1032.250,-96.988,-1534.071
[18:22:10.918] imu_att:-0.403,0.279,-1.622,-179.126,-1.553,-2.873
[18:22:10.918] imu_mag3:-1029.256,-93.923,-1539.250
[18:22:10.957] imu_att:0.233,0.006,-1.596,-178.465,-2.187,-2.790
[18:22:10.958] imu_mag3:-1012.407,-85.834,-1539.370
[18:22:10.997] imu_att:-0.153,0.093,-1.579,-177.680,-1.382,-2.547
[18:22:10.998] imu_mag3:-1032.386,-109.770,-1539.031
[18:22:11.036] imu_att:-0.224,0.275,-1.598,-178.094,-1.900,-2.475
[18:22:11.037] imu_mag3:-1007.676,-104.493,-1544.251
[18:22:11.078] imu_att:-0.098,0.312,-1.630,-179.436,-2.886,-2.483
[18:22:11.079] imu_mag3:-1007.415,-80.675,-1551.766
[18:22:11.117] imu_att:0.022,-0.481,-1.626,-178.847,-2.033,-2.450
[18:22:11.118] imu_mag3:-1014.379,-85.855,-1539.368
[18:22:11.157] imu_att:0.044,-0.159,-1.625,-179.566,-2.926,-2.470
[18:22:11.158] imu_mag3:-1014.251,-73.994,-1539.531
[18:22:11.196] imu_att:0.009,0.244,-1.625,-179.198,-2.442,-2.469
[18:22:11.197] imu_mag3:-1022.215,-80.999,-1539.431
[18:22:11.238] imu_att:-0.027,0.168,-1.625,-179.016,-2.309,-2.446
[18:22:11.239] imu_mag3:-1014.367,-84.068,-1525.016
[18:22:11.278] imu_att:-0.044,0.064,-1.627,-179.372,-2.549,-2.421
[18:22:11.279] imu_mag3:-1024.174,-79.206,-1527.131
[18:22:11.317] imu_att:-0.033,0.070,-1.629,-178.931,-2.659,-2.479
[18:22:11.318] imu_mag3:-1014.383,-85.923,-1534.233
[18:22:11.357] imu_att:-0.065,0.022,-1.628,-179.667,-3.134,-2.558
[18:22:11.357] imu_mag3:-1017.226,-75.908,-1546.692
[18:22:11.398] imu_att:-0.055,0.046,-1.628,-178.127,-1.750,-2.518
[18:22:11.399] imu_mag3:-1019.456,-99.679,-1544.311
[18:22:11.438] imu_att:-0.057,0.039,-1.629,-179.130,-2.566,-2.491
[18:22:11.438] imu_mag3:-1019.287,-83.905,-1541.446
[18:22:11.477] imu_att:-0.057,0.035,-1.629,-179.444,-2.617,-2.470
[18:22:11.478] imu_mag3:-1014.303,-78.909,-1541.517
[18:22:11.517] imu_att:-0.046,0.049,-1.630,-179.054,-2.428,-2.441
[18:22:11.517] imu_mag3:-1009.435,-83.988,-1527.074
[18:22:11.558] imu_att:-0.071,0.042,-1.631,-178.845,-2.512,-2.471
[18:22:11.559] imu_mag3:-1012.436,-88.731,-1544.465
[18:22:11.598] imu_att:-0.058,0.042,-1.632,-178.692,-2.521,-2.467
[18:22:11.598] imu_mag3:-1022.320,-90.856,-1541.349
[18:22:11.637] imu_att:-0.059,0.053,-1.632,-179.004,-2.129,-2.400
[18:22:11.638] imu_mag3:-1024.240,-85.962,-1539.361
[18:22:11.677] imu_att:-0.046,0.052,-1.633,-179.304,-2.779,-2.430
[18:22:11.677] imu_mag3:-999.531,-80.685,-1544.582
[18:22:11.716] imu_att:-0.060,0.033,-1.634,-179.115,-2.429,-2.474
[18:22:11.717] imu_mag3:-1014.360,-83.919,-1536.314
[18:22:11.758] imu_att:-0.049,0.038,-1.635,-177.945,-1.669,-2.416
[18:22:11.758] imu_mag3:-1014.554,-101.738,-1534.016
[18:22:11.797] imu_att:-0.046,0.042,-1.634,-178.276,-1.893,-2.353
[18:22:11.798] imu_mag3:-1014.497,-96.728,-1539.219
[18:22:11.837] imu_att:-0.043,0.032,-1.634,-179.474,-2.867,-2.405
[18:22:11.838] imu_mag3:-1022.182,-78.791,-1556.919
[18:22:11.876] imu_att:-0.064,0.016,-1.635,-178.322,-1.903,-2.384
[18:22:11.877] imu_mag3:-1012.521,-96.639,-1544.356
[18:22:11.918] imu_att:-0.072,0.052,-1.635,-178.762,-2.302,-2.335
[18:22:11.919] imu_mag3:-1032.174,-90.827,-1551.614
[18:22:11.957] imu_att:-0.076,0.040,-1.636,-178.660,-2.177,-2.291
[18:22:11.958] imu_mag3:-1014.442,-90.987,-1524.921
