# Serial Log - 2026-04-11T15:45:25.750008
# Port: COM24 @ 115200bps
#============================================================
[15:45:32.191] 291.00,-1945.00,-1682.00
[15:45:32.233] 298.00,-1950.00,-1665.00
[15:45:32.273] 293.00,-1958.00,-1670.00
[15:45:32.313] 306.00,-1953.00,-1662.00
[15:45:32.353] 298.00,-1961.00,-1650.00
[15:45:32.391] 301.00,-1966.00,-1657.00
[15:45:32.433] 298.00,-1968.00,-1657.00
[15:45:32.473] 298.00,-1968.00,-1657.00
[15:45:32.512] 301.00,-1973.00,-1665.00
[15:45:32.551] 318.00,-1982.00,-1675.00
[15:45:32.593] 330.00,-1977.00,-1633.00
[15:45:32.633] 340.00,-1982.00,-1633.00
[15:45:32.673] 352.00,-1982.00,-1631.00
[15:45:32.712] 342.00,-1987.00,-1616.00
[15:45:32.753] 347.00,-1973.00,-1618.00
[15:45:32.795] 337.00,-1977.00,-1626.00
[15:45:32.834] 342.00,-1980.00,-1613.00
[15:45:32.873] 345.00,-1973.00,-1618.00
[15:45:32.911] 347.00,-1973.00,-1633.00
[15:45:32.955] 337.00,-1980.00,-1643.00
[15:45:32.992] 332.00,-1977.00,-1646.00
[15:45:33.033] 340.00,-1982.00,-1616.00
[15:45:33.061] 335.00,-1987.00,-1636.00
[15:45:33.111] 337.00,-1990.00,-1623.00
[15:45:33.153] 347.00,-1985.00,-1621.00
[15:45:33.192] 335.00,-1980.00,-1616.00
[15:45:33.231] 337.00,-1987.00,-1631.00
[15:45:33.272] 342.00,-1985.00,-1616.00
[15:45:33.314] 337.00,-1985.00,-1613.00
[15:45:33.353] 345.00,-1985.00,-1621.00
[15:45:33.393] 327.00,-1973.00,-1611.00
[15:45:33.433] 342.00,-1977.00,-1618.00
[15:45:33.473] 340.00,-1990.00,-1628.00
[15:45:33.513] 313.00,-1985.00,-1633.00
[15:45:33.541] 323.00,-1987.00,-1626.00
[15:45:33.591] 327.00,-1982.00,-1631.00
[15:45:33.631] 288.00,-2001.00,-1616.00
[15:45:33.673] 252.00,-1995.00,-1618.00
[15:45:33.712] 203.00,-2032.00,-1621.00
[15:45:33.753] 103.00,-2068.00,-1587.00
[15:45:33.791] -10.00,-2085.00,-1541.00
[15:45:33.833] -125.00,-2106.00,-1492.00
[15:45:33.873] -267.00,-2125.00,-1435.00
[15:45:33.912] -426.00,-2106.00,-1376.00
[15:45:33.951] -565.00,-2056.00,-1350.00
[15:45:33.993] -705.00,-2006.00,-1313.00
[15:45:34.032] -823.00,-1935.00,-1281.00
[15:45:34.073] -910.00,-1856.00,-1278.00
[15:45:34.111] -997.00,-1740.00,-1286.00
[15:45:34.152] -1056.00,-1655.00,-1306.00
[15:45:34.193] -1115.00,-1557.00,-1316.00
