# Serial Log - 2026-04-11T15:57:40.345316
# Port: COM24 @ 115200bps
#============================================================
[15:57:40.633] -997.00
[15:57:57.332] 1690.00,-751.00,-165.00
[15:57:57.422] 1606.00,-508.00,-10.00
[15:57:57.423] 1452.00,-231.00,117.00
[15:57:57.423] 1193.00,152.00,165.00
[15:57:57.425] 812.00,492.00,143.00
[15:57:57.425] 370.00,645.00,107.00
[15:57:57.704] -10.00,651.00,97.00
[15:57:57.706] -265.00,597.00,156.00
[15:57:57.706] -603.00,381.00,252.00
[15:57:57.707] -846.00,145.00,335.00
[15:57:57.708] -1000.00,-117.00,357.00
[15:57:57.708] -1146.00,-323.00,330.00
[15:57:57.710] -1263.00,-485.00,216.00
[15:57:57.752] -1325.00,-563.00,146.00
[15:57:57.861] -1383.00,-595.00,56.00
[15:57:57.862] -1401.00,-595.00,0.00
[15:57:57.862] -1427.00,-556.00,-51.00
[15:57:57.949] -1413.00,-497.00,-102.00
[15:57:57.951] -1427.00,-423.00,-148.00
[15:57:58.023] -1437.00,-381.00,-226.00
[15:57:58.024] -1437.00,-381.00,-226.00
[15:57:58.094] -1408.00,-273.00,-340.00
[15:57:58.112] -1427.00,-281.00,-352.00
[15:57:58.170] -1406.00,-297.00,-352.00
[15:57:58.193] -1420.00,-305.00,-350.00
[15:57:58.297] -1422.00,-328.00,-373.00
[15:57:58.297] -1416.00,-323.00,-386.00
[15:57:58.298] -1398.00,-357.00,-398.00
[15:57:58.350] -1378.00,-331.00,-427.00
[15:57:58.390] -1376.00,-283.00,-500.00
[15:57:58.473] -1366.00,-268.00,-590.00
[15:57:58.475] -1366.00,-300.00,-638.00
[15:57:58.590] -1378.00,-307.00,-662.00
[15:57:58.591] -1371.00,-363.00,-821.00
[15:57:58.591] -1373.00,-407.00,-876.00
[15:57:58.645] -1391.00,-523.00,-958.00
[15:57:58.660] -1403.00,-658.00,-1022.00
[15:57:58.712] -1406.00,-766.00,-1061.00
[15:57:58.751] -1362.00,-1017.00,-1151.00
[15:57:58.790] -1291.00,-1243.00,-1190.00
[15:57:58.831] -1193.00,-1481.00,-1247.00
[15:57:58.871] -1012.00,-1785.00,-1198.00
[15:57:58.910] -792.00,-2013.00,-1141.00
[15:57:58.950] -536.00,-2185.00,-1061.00
[15:57:59.024] -316.00,-2298.00,-981.00
[15:57:59.024] -76.00,-2375.00,-876.00
[15:57:59.070] 283.00,-2391.00,-677.00
[15:57:59.111] 570.00,-2327.00,-543.00
[15:57:59.150] 890.00,-2166.00,-406.00
[15:57:59.191] 1095.00,-2013.00,-330.00
[15:57:59.243] 1271.00,-1811.00,-255.00
[15:57:59.260] 1403.00,-1581.00,-148.00
[15:57:59.305] 1491.00,-1283.00,-32.00
[15:57:59.351] 1501.00,-863.00,87.00
[15:57:59.465] 1460.00,-502.00,112.00
